bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
90,-36,2017-01-31 07:00:08,8351,39,8352,40,7127546,229,45.522065000000005,-122.484751
201,-16,2017-01-31 07:00:17,7608,21,7618,22,7129572,203,45.511537,-122.681494
270,-28,2017-01-31 07:00:33,8366,9,8367,10,7127666,106,45.522295,-122.507952
17,-43,2017-01-31 07:00:44,13133,2,13134,3,7129573,322,45.467694,-122.566654
306,-162,2017-01-31 07:00:44,11508,8,11509,9,7128218,122,45.539746,-122.675803
294,-194,2017-01-31 07:00:48,9829,38,9832,39,7127910,315,45.517503000000005,-122.87084899999999
112,-65,2017-01-31 07:01:08,8335,23,8336,24,7127547,221,45.51728,-122.674901
90,-156,2017-01-31 07:01:09,8349,10,8350,11,7127285,110,45.522273999999996,-122.50976000000001
96,18,2017-01-31 07:01:12,8352,40,8353,41,7127546,229,45.52195,-122.476146
124,-87,2017-01-31 07:01:24,9831,9,9830,10,7127287,417,45.511821000000005,-122.85528000000001
2,0,2017-01-31 07:01:32,13137,6,13138,7,7129574,231,45.503365,-122.566599
1,-64,2017-01-31 07:01:36,13723,4,13724,5,7130119,532,45.491092,-122.64843
120,-99,2017-01-31 07:01:40,8353,15,8354,16,7127284,314,45.520212,-122.47006100000002
217,-509,2017-01-31 07:02:01,9624,20,9818,21,7127663,109,45.491385,-122.80163700000001
178,-64,2017-01-31 07:02:06,7601,1,9303,2,7130328,205,45.523882,-122.675436
256,-128,2017-01-31 07:02:08,10117,18,10121,19,7127664,249,45.511089,-122.713078
39,-124,2017-01-31 07:02:17,11616,22,10572,23,7126593,240,45.559551,-122.564945
223,6,2017-01-31 07:02:24,7618,22,7606,23,7129572,203,45.508798,-122.683107
108,-472,2017-01-31 07:02:24,8343,12,8344,13,7129359,321,45.532731,-122.620605
7,-4,2017-01-31 07:02:35,13134,3,13135,4,7129573,322,45.480193,-122.566804
126,-95,2017-01-31 07:02:50,9830,10,9828,11,7127287,404,45.507540999999996,-122.846725
294,-201,2017-01-31 07:02:53,9832,39,9833,40,7127910,230,45.523497,-122.889599
270,-22,2017-01-31 07:02:56,8367,10,8368,11,7127666,106,45.522496999999994,-122.53386
0,-26,2017-01-31 07:02:58,13138,7,13139,8,7129574,231,45.513996999999996,-122.56438700000001
90,-164,2017-01-31 07:03:15,8350,11,8351,12,7127285,219,45.522153,-122.49557800000001
0,-166,2017-01-31 07:03:18,11509,9,11510,10,7128218,303,45.548497,-122.68098300000001
121,-121,2017-01-31 07:03:27,8354,16,8355,17,7127284,314,45.517019,-122.462501
0,-100,2017-01-31 07:03:43,13724,5,13725,6,7130119,523,45.498256,-122.648099
3,-270,2017-01-31 07:03:53,11615,5,8370,6,7126654,242,45.530072,-122.56338500000001
201,-55,2017-01-31 07:03:57,9303,2,7627,3,7130328,205,45.521562,-122.676049
250,-520,2017-01-31 07:04:12,9818,21,9823,22,7127663,227,45.490384000000006,-122.80751000000001
299,-139,2017-01-31 07:04:21,10572,23,10574,24,7126593,312,45.572475,-122.558549
4,9,2017-01-31 07:04:22,13135,4,13136,5,7129573,124,45.490947,-122.566229
357,-67,2017-01-31 07:04:38,8338,26,8339,27,7127547,313,45.524104,-122.671347
126,-79,2017-01-31 07:04:49,9828,11,9822,12,7127287,404,45.501463,-122.835169
90,-139,2017-01-31 07:04:50,8351,12,8352,13,7127285,219,45.522069,-122.485173
20,68,2017-01-31 07:04:52,13140,1,10293,2,7129360,120,45.509806,-122.683627
121,-111,2017-01-31 07:04:53,8353,41,8354,42,7127546,114,45.520474,-122.470679
52,-502,2017-01-31 07:04:54,8344,13,8345,14,7129359,104,45.528795,-122.602624
269,-231,2017-01-31 07:05:22,9833,40,9836,41,7127910,315,45.530321,-122.916597
357,-173,2017-01-31 07:05:25,11510,10,11511,11,7128218,303,45.555316,-122.68226100000001
308,-87,2017-01-31 07:05:28,13725,6,13726,7,7130119,532,45.50298,-122.653507
354,39,2017-01-31 07:05:36,13136,5,13137,6,7129573,124,45.495403,-122.566078
270,-12,2017-01-31 07:05:40,8368,11,8369,12,7127666,306,45.522646,-122.55537199999999
295,-291,2017-01-31 07:05:58,8370,1,8371,2,7127665,242,45.532475,-122.575492
201,-62,2017-01-31 07:06:04,7627,3,7646,4,7130328,205,45.518159999999995,-122.677889
349,-102,2017-01-31 07:06:13,10574,24,10576,25,7126593,312,45.577335999999995,-122.56718300000001
96,-108,2017-01-31 07:06:21,8352,13,8353,14,7127285,219,45.521952,-122.47617199999999
299,-537,2017-01-31 07:06:29,9823,22,9825,23,7127663,227,45.49543,-122.821891
20,27,2017-01-31 07:06:37,10293,2,7774,3,7129360,120,45.511879,-122.682511
345,-54,2017-01-31 07:06:55,13139,8,8370,9,7129574,231,45.530947999999995,-122.56364599999999
291,-273,2017-01-31 07:07:03,8384,27,9757,28,7127911,223,45.521595,-122.688099
