Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.985434766,-0.50%,-0.10%,8,14.30%,14.30%,9,50.00%,28.60%,44.5,-26.5,20,$398K,-7.60%,-33.20%,11,10.00%,-15.40%,4/30/2018,All Residential,"Portland, OR - Sullivan's Gulch"
0.984077261,-0.70%,-0.40%,13,-7.10%,333.30%,11,-26.70%,-26.70%,18,-18.5,0.5,$156K,-0.50%,9.90%,11,-8.30%,120.00%,12/31/2012,All Residential,"Portland, OR - Lents-Powellhurst-Gilbert"
0.987811124,1.00%,0.50%,28,16.70%,154.50%,5,-54.50%,-68.80%,33,1,-30,$271K,8.10%,-1.60%,10,-54.50%,0.00%,12/31/2012,All Residential,"Portland, OR - South Tabor"
1.042149524,1.80%,4.60%,24,20.00%,33.30%,10,-9.10%,-23.10%,17,-10,-6,$248K,1.00%,11.40%,25,4.20%,92.30%,7/31/2015,All Residential,"Portland, OR - Parkrose"
1.080476568,5.40%,9.30%,7,0.00%,-12.50%,1,0.00%,-92.90%,5,-1.5,-2,$550K,13.40%,69.00%,6,-25.00%,-78.60%,7/31/2015,All Residential,"Portland, OR - Eliot"
0.980775807,0.10%,2.60%,14,0.00%,-6.70%,6,20.00%,-53.80%,23,-3,10.5,$352K,-8.60%,0.10%,14,16.70%,-30.00%,10/31/2014,All Residential,"Portland, OR - Kerns"
0.994219685,1.40%,1.20%,26,-7.10%,36.80%,16,-15.80%,100.00%,30,6.5,-10,$253K,12.30%,-2.30%,17,-26.10%,142.90%,12/31/2014,All Residential,"Portland, OR - Argay"
0.972307196,0.30%,0.90%,28,12.00%,27.30%,32,-5.90%,6.70%,40,19,-17.5,$266K,4.70%,2.90%,29,-21.60%,0.00%,10/31/2012,All Residential,"Portland, OR - Multnomah Village"
1.017105386,-0.20%,-0.10%,87,-10.30%,24.30%,36,-2.70%,111.80%,38,7,20,$255K,0.00%,8.30%,61,32.60%,29.80%,2/28/2017,All Residential,"Portland, OR - Lents"
1.148504374,0.50%,15.00%,5,0.00%,-28.60%,9,28.60%,-35.70%,21,-11,-21,$170K,0.00%,-50.80%,10,11.10%,25.00%,12/31/2012,All Residential,"Portland, OR - North Tabor"
0.980800013,-0.60%,1.90%,14,-17.60%,-33.30%,14,-22.20%,-44.00%,68,-2,46.5,$853K,12.80%,72.60%,16,-27.30%,6.70%,11/30/2013,All Residential,"Portland, OR - Hillside"
0.987960463,0.10%,-0.10%,33,0.00%,6.50%,18,28.60%,20.00%,13.5,-0.5,-16,$425K,18.10%,11.80%,47,51.60%,51.60%,3/31/2018,All Residential,"Portland, OR - Cully"
1.002225472,-0.50%,-0.70%,3916,8.00%,-3.80%,6207,3.30%,-6.90%,11,3,-2,$375K,-1.30%,8.70%,3985,-3.90%,-8.30%,8/31/2017,All Residential,"Portland, OR metro area"
1.039467025,0.10%,4.50%,90,0.00%,50.00%,29,26.10%,-35.60%,7,0,-7,$252K,1.10%,14.80%,78,5.40%,9.90%,8/31/2015,All Residential,"Portland, OR - Brentwood"
0.998746321,0.40%,3.70%,37,-2.60%,-7.50%,39,11.40%,-20.40%,21,-59.5,-55,$190K,7.10%,50.50%,62,31.90%,129.60%,5/31/2013,All Residential,"Portland, OR - Brentwood"
