tripID,vehicle_id,blockID,direction,garage,messageCode,routeNumber
6997573,408,9045,1,ELMO,929,90
6997573,407,9045,1,ELMO,929,90
6998905,118,9007,0,RUBY,892,100
6998905,320,9007,0,RUBY,892,100
6998906,219,9008,0,RUBY,892,100
6998906,113,9008,0,RUBY,892,100
6998907,243,9022,0,ELMO,892,100
6998907,208,9022,0,ELMO,892,100
6998908,110,9001,0,RUBY,892,100
6998908,306,9001,0,RUBY,892,100
6998909,104,9004,0,RUBY,906,100
6998909,312,9004,0,RUBY,906,100
6998910,121,9002,0,RUBY,892,100
6998910,210,9002,0,RUBY,892,100
6998911,201,9003,0,RUBY,892,100
6998911,107,9003,0,RUBY,892,100
6998912,320,9007,0,RUBY,906,100
6998912,118,9007,0,RUBY,906,100
6998913,408,9045,0,ELMO,892,100
6998913,407,9045,0,ELMO,892,100
6998914,236,9081,0,RUBY,907,100
6998914,217,9081,0,RUBY,907,100
6998915,113,9008,0,RUBY,906,100
6998915,219,9008,0,RUBY,906,100
6998916,318,9006,0,RUBY,892,100
6998916,120,9006,0,RUBY,892,100
6998917,523,9065,0,RUBY,907,100
6998917,524,9065,0,RUBY,907,100
6998918,220,9082,0,RUBY,907,100
6998918,250,9082,0,RUBY,907,100
6999629,251,9048,1,ELMO,893,100
6999629,326,9048,1,ELMO,893,100
6999630,201,9003,1,RUBY,891,100
6999630,107,9003,1,RUBY,891,100
6999632,312,9004,1,RUBY,891,100
6999632,104,9004,1,RUBY,891,100
6999633,407,9045,1,ELMO,891,100
6999633,408,9045,1,ELMO,891,100
6999634,120,9006,1,RUBY,891,100
6999634,318,9006,1,RUBY,891,100
6999635,320,9007,1,RUBY,906,100
6999635,118,9007,1,RUBY,906,100
6999636,113,9008,1,RUBY,891,100
6999636,219,9008,1,RUBY,891,100
6999637,315,9022,1,ELMO,891,100
6999637,243,9022,1,ELMO,891,100
6999637,311,9022,1,ELMO,891,100
6999637,208,9022,1,ELMO,891,100
6999638,306,9001,1,RUBY,891,100
6999638,110,9001,1,RUBY,891,100
7000472,412,9067,0,RUBY,972,190
7000472,420,9067,0,RUBY,972,190
7000473,405,9069,0,RUBY,972,190
7000473,413,9069,0,RUBY,972,190
7000474,317,9066,0,RUBY,972,190
7000474,235,9066,0,RUBY,972,190
7000475,534,9068,0,RUBY,972,190
7000475,537,9068,0,RUBY,972,190
7000476,523,9065,0,RUBY,972,190
7000476,524,9065,0,RUBY,972,190
7000477,412,9067,0,RUBY,972,190
7000477,420,9067,0,RUBY,972,190
7000478,405,9069,0,RUBY,972,190
7000478,413,9069,0,RUBY,972,190
7000893,534,9068,1,RUBY,971,190
7000893,537,9068,1,RUBY,971,190
7000894,524,9065,1,RUBY,971,190
7000894,523,9065,1,RUBY,971,190
7000895,412,9067,1,RUBY,971,190
7000895,420,9067,1,RUBY,971,190
7000896,413,9069,1,RUBY,971,190
7000896,405,9069,1,RUBY,971,190
7000897,317,9066,1,RUBY,971,190
7000897,235,9066,1,RUBY,971,190
7000898,534,9068,1,RUBY,971,190
7000898,537,9068,1,RUBY,971,190
7000899,523,9065,1,RUBY,974,190
7000899,524,9065,1,RUBY,974,190
7000900,420,9067,1,RUBY,974,190
7000900,412,9067,1,RUBY,974,190
7002500,250,9082,0,RUBY,975,200
7002501,315,9086,0,RUBY,975,200
7002501,311,9086,0,RUBY,975,200
7002502,213,9084,0,RUBY,975,200
7002502,211,9084,0,RUBY,975,200
7002503,217,9081,0,RUBY,975,200
7002503,236,9081,0,RUBY,975,200
7002504,250,9082,0,RUBY,975,200
7002504,220,9082,0,RUBY,975,200
7002505,315,9086,0,RUBY,975,200
7002505,311,9086,0,RUBY,975,200
7002506,211,9084,0,RUBY,975,200
7002506,213,9084,0,RUBY,975,200
7002953,315,9086,1,RUBY,978,200
7002953,311,9086,1,RUBY,978,200
7002954,211,9084,1,RUBY,978,200
7002954,213,9084,1,RUBY,978,200
7002955,217,9081,1,RUBY,978,200
7002955,236,9081,1,RUBY,978,200
7002956,250,9082,1,RUBY,978,200
7002956,220,9082,1,RUBY,978,200
7002957,315,9086,1,RUBY,978,200
7002957,311,9086,1,RUBY,978,200
7002958,213,9084,1,RUBY,978,200
7002958,211,9084,1,RUBY,978,200
7002959,217,9081,1,RUBY,976,200
7002959,236,9081,1,RUBY,976,200
7002960,250,9082,1,RUBY,976,200
7003700,413,9069,0,RUBY,970,290
7003700,405,9069,0,RUBY,970,290
7003701,317,9066,0,RUBY,969,290
7003701,235,9066,0,RUBY,969,290
7003702,537,9068,0,RUBY,969,290
7003702,534,9068,0,RUBY,969,290
7003703,523,9065,0,RUBY,969,290
7003703,524,9065,0,RUBY,969,290
7003704,412,9067,0,RUBY,969,290
7003704,420,9067,0,RUBY,969,290
7003705,413,9069,0,RUBY,969,290
7003705,405,9069,0,RUBY,969,290
7003706,235,9066,0,RUBY,969,290
7003706,317,9066,0,RUBY,969,290
7004120,235,9066,1,RUBY,968,290
7004120,317,9066,1,RUBY,968,290
7004121,534,9068,1,RUBY,968,290
7004121,537,9068,1,RUBY,968,290
7004122,524,9065,1,RUBY,968,290
7004122,523,9065,1,RUBY,968,290
7004123,420,9067,1,RUBY,968,290
7004123,412,9067,1,RUBY,968,290
7004124,405,9069,1,RUBY,968,290
7004124,413,9069,1,RUBY,968,290
7004125,317,9066,1,RUBY,968,290
7004125,235,9066,1,RUBY,968,290
7004126,534,9068,1,RUBY,968,290
7004126,537,9068,1,RUBY,968,290
7057544,245,9040,0,ELMO,927,90
7057544,241,9040,0,ELMO,927,90
7057544,534,9040,0,ELMO,927,90
7057544,302,9040,0,ELMO,927,90
7057544,204,9040,0,ELMO,927,90
7057544,215,9040,0,ELMO,927,90
7057544,537,9040,0,ELMO,927,90
7057544,240,9040,0,ELMO,927,90
7057544,209,9040,0,ELMO,927,90
7057544,226,9040,0,ELMO,927,90
7057544,220,9040,0,ELMO,927,90
7057544,229,9040,0,ELMO,927,90
7057544,223,9040,0,ELMO,927,90
7057544,312,9040,0,ELMO,927,90
7057544,225,9040,0,ELMO,927,90
7057545,411,9041,0,ELMO,927,90
7057545,406,9041,0,ELMO,927,90
7057545,530,9041,0,ELMO,927,90
7057545,231,9041,0,ELMO,927,90
